,pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
115,116,horsea,water,,"[['razor-wind', 'normal'], ['headbutt', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['disable', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['aurora-beam', 'ice'], ['dragon-rage', 'dragon'], ['toxic', 'poison'], ['agility', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['focus-energy', 'normal'], ['bide', 'normal'], ['waterfall', 'water'], ['swift', 'normal'], ['skull-bash', 'normal'], ['bubble', 'water'], ['splash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['octazooka', 'water'], ['icy-wind', 'ice'], ['outrage', 'dragon'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dragon-breath', 'dragon'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['whirlpool', 'water'], ['hail', 'ice'], ['facade', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['weather-ball', 'normal'], ['signal-beam', 'bug'], ['muddy-water', 'water'], ['bounce', 'flying'], ['dragon-dance', 'dragon'], ['water-pulse', 'water'], ['brine', 'water'], ['natural-gift', 'normal'], ['dragon-pulse', 'dragon'], ['flash-cannon', 'steel'], ['captivate', 'normal'], ['round', 'normal'], ['clear-smog', 'poison'], ['scald', 'water'], ['confide', 'normal'], ['laser-focus', 'normal'], ['liquidation', 'water'], ['scale-shot', 'dragon'], ['flip-turn', 'water'], ['tera-blast', 'normal'], ['chilling-water', 'water']]",30,40,70,70,25,60
116,117,seadra,water,,"[['headbutt', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['disable', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['aurora-beam', 'ice'], ['hyper-beam', 'normal'], ['toxic', 'poison'], ['agility', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['focus-energy', 'normal'], ['bide', 'normal'], ['waterfall', 'water'], ['swift', 'normal'], ['skull-bash', 'normal'], ['bubble', 'water'], ['splash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['scary-face', 'normal'], ['icy-wind', 'ice'], ['outrage', 'dragon'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dragon-breath', 'dragon'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['whirlpool', 'water'], ['hail', 'ice'], ['facade', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['weather-ball', 'normal'], ['signal-beam', 'bug'], ['muddy-water', 'water'], ['bounce', 'flying'], ['dragon-dance', 'dragon'], ['water-pulse', 'water'], ['brine', 'water'], ['natural-gift', 'normal'], ['dragon-pulse', 'dragon'], ['giga-impact', 'normal'], ['flash-cannon', 'steel'], ['captivate', 'normal'], ['round', 'normal'], ['clear-smog', 'poison'], ['scald', 'water'], ['confide', 'normal'], ['laser-focus', 'normal'], ['liquidation', 'water'], ['scale-shot', 'dragon'], ['flip-turn', 'water'], ['tera-blast', 'normal'], ['snowscape', 'ice'], ['chilling-water', 'water']]",55,65,95,95,45,85
117,118,goldeen,water,,"[['swords-dance', 'normal'], ['headbutt', 'normal'], ['horn-attack', 'normal'], ['fury-attack', 'normal'], ['horn-drill', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['tail-whip', 'normal'], ['supersonic', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['psybeam', 'psychic'], ['bubble-beam', 'water'], ['peck', 'flying'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['haze', 'ice'], ['bide', 'normal'], ['waterfall', 'water'], ['swift', 'normal'], ['skull-bash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['icy-wind', 'ice'], ['endure', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['megahorn', 'bug'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['whirlpool', 'water'], ['hail', 'ice'], ['facade', 'normal'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['dive', 'water'], ['mud-sport', 'ground'], ['signal-beam', 'bug'], ['muddy-water', 'water'], ['bounce', 'flying'], ['mud-shot', 'ground'], ['water-sport', 'water'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['acupressure', 'normal'], ['aqua-ring', 'water'], ['poison-jab', 'poison'], ['aqua-tail', 'water'], ['captivate', 'normal'], ['soak', 'water'], ['round', 'normal'], ['scald', 'water'], ['drill-run', 'ground'], ['confide', 'normal'], ['throat-chop', 'dark'], ['smart-strike', 'steel'], ['scale-shot', 'dragon'], ['flip-turn', 'water']]",45,67,60,35,50,63
118,119,seaking,water,,"[['swords-dance', 'normal'], ['headbutt', 'normal'], ['horn-attack', 'normal'], ['fury-attack', 'normal'], ['horn-drill', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['tail-whip', 'normal'], ['supersonic', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['psybeam', 'psychic'], ['bubble-beam', 'water'], ['hyper-beam', 'normal'], ['peck', 'flying'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['bide', 'normal'], ['waterfall', 'water'], ['swift', 'normal'], ['skull-bash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['icy-wind', 'ice'], ['endure', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['megahorn', 'bug'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['whirlpool', 'water'], ['hail', 'ice'], ['facade', 'normal'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['dive', 'water'], ['signal-beam', 'bug'], ['muddy-water', 'water'], ['bounce', 'flying'], ['mud-shot', 'ground'], ['water-sport', 'water'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['aqua-ring', 'water'], ['poison-jab', 'poison'], ['aqua-tail', 'water'], ['giga-impact', 'normal'], ['captivate', 'normal'], ['soak', 'water'], ['round', 'normal'], ['scald', 'water'], ['drill-run', 'ground'], ['confide', 'normal'], ['throat-chop', 'dark'], ['smart-strike', 'steel'], ['scale-shot', 'dragon'], ['flip-turn', 'water']]",80,92,65,65,80,68
119,120,staryu,water,,"[['headbutt', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['supersonic', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['psybeam', 'psychic'], ['bubble-beam', 'water'], ['aurora-beam', 'ice'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['rage', 'normal'], ['teleport', 'psychic'], ['mimic', 'normal'], ['double-team', 'normal'], ['recover', 'normal'], ['harden', 'normal'], ['minimize', 'normal'], ['confuse-ray', 'ghost'], ['barrier', 'psychic'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['waterfall', 'water'], ['swift', 'normal'], ['skull-bash', 'normal'], ['flash', 'normal'], ['psywave', 'psychic'], ['rest', 'psychic'], ['tri-attack', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['zap-cannon', 'electric'], ['icy-wind', 'ice'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['rapid-spin', 'normal'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['psych-up', 'normal'], ['whirlpool', 'water'], ['hail', 'ice'], ['facade', 'normal'], ['magic-coat', 'psychic'], ['recycle', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['camouflage', 'normal'], ['cosmic-power', 'psychic'], ['signal-beam', 'bug'], ['water-pulse', 'water'], ['gravity', 'psychic'], ['gyro-ball', 'steel'], ['brine', 'water'], ['natural-gift', 'normal'], ['power-gem', 'rock'], ['flash-cannon', 'steel'], ['round', 'normal'], ['scald', 'water'], ['reflect-type', 'normal'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['flip-turn', 'water']]",30,45,55,70,55,85
120,121,starmie,water,psychic,"[['headbutt', 'normal'], ['tackle', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['psybeam', 'psychic'], ['bubble-beam', 'water'], ['hyper-beam', 'normal'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['agility', 'psychic'], ['rage', 'normal'], ['teleport', 'psychic'], ['mimic', 'normal'], ['double-team', 'normal'], ['recover', 'normal'], ['harden', 'normal'], ['minimize', 'normal'], ['confuse-ray', 'ghost'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['waterfall', 'water'], ['swift', 'normal'], ['skull-bash', 'normal'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['psywave', 'psychic'], ['rest', 'psychic'], ['tri-attack', 'normal'], ['substitute', 'normal'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['zap-cannon', 'electric'], ['icy-wind', 'ice'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['pain-split', 'normal'], ['rapid-spin', 'normal'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['psych-up', 'normal'], ['whirlpool', 'water'], ['hail', 'ice'], ['facade', 'normal'], ['trick', 'psychic'], ['magic-coat', 'psychic'], ['recycle', 'normal'], ['skill-swap', 'psychic'], ['secret-power', 'normal'], ['dive', 'water'], ['cosmic-power', 'psychic'], ['signal-beam', 'bug'], ['water-pulse', 'water'], ['gravity', 'psychic'], ['gyro-ball', 'steel'], ['brine', 'water'], ['natural-gift', 'normal'], ['power-gem', 'rock'], ['giga-impact', 'normal'], ['avalanche', 'ice'], ['psycho-cut', 'psychic'], ['flash-cannon', 'steel'], ['trick-room', 'psychic'], ['grass-knot', 'grass'], ['wonder-room', 'psychic'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['round', 'normal'], ['ally-switch', 'psychic'], ['scald', 'water'], ['confide', 'normal'], ['dazzling-gleam', 'fairy'], ['spotlight', 'normal'], ['expanding-force', 'psychic'], ['meteor-beam', 'rock'], ['flip-turn', 'water']]",60,75,85,100,85,115
121,122,mr-mime,psychic,fairy,"[['pound', 'normal'], ['double-slap', 'normal'], ['mega-punch', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['psybeam', 'psychic'], ['hyper-beam', 'normal'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['solar-beam', 'grass'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['toxic', 'poison'], ['confusion', 'psychic'], ['psychic', 'psychic'], ['hypnosis', 'psychic'], ['meditate', 'psychic'], ['rage', 'normal'], ['teleport', 'psychic'], ['mimic', 'normal'], ['double-team', 'normal'], ['confuse-ray', 'ghost'], ['barrier', 'psychic'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['metronome', 'normal'], ['skull-bash', 'normal'], ['dream-eater', 'psychic'], ['flash', 'normal'], ['psywave', 'psychic'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['icy-wind', 'ice'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['dynamic-punch', 'fighting'], ['baton-pass', 'normal'], ['encore', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['future-sight', 'psychic'], ['fake-out', 'normal'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['trick', 'psychic'], ['role-play', 'psychic'], ['magic-coat', 'psychic'], ['recycle', 'normal'], ['brick-break', 'fighting'], ['skill-swap', 'psychic'], ['snatch', 'dark'], ['secret-power', 'normal'], ['teeter-dance', 'normal'], ['tickle', 'normal'], ['signal-beam', 'bug'], ['aerial-ace', 'flying'], ['iron-defense', 'steel'], ['covet', 'normal'], ['magical-leaf', 'grass'], ['calm-mind', 'psychic'], ['shock-wave', 'electric'], ['wake-up-slap', 'fighting'], ['natural-gift', 'normal'], ['payback', 'dark'], ['fling', 'dark'], ['copycat', 'normal'], ['power-swap', 'psychic'], ['guard-swap', 'psychic'], ['sucker-punch', 'dark'], ['drain-punch', 'fighting'], ['focus-blast', 'fighting'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['zen-headbutt', 'psychic'], ['trick-room', 'psychic'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['charge-beam', 'electric'], ['wide-guard', 'rock'], ['power-split', 'psychic'], ['wonder-room', 'psychic'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['magic-room', 'psychic'], ['foul-play', 'dark'], ['round', 'normal'], ['stored-power', 'psychic'], ['quick-guard', 'fighting'], ['ally-switch', 'psychic'], ['misty-terrain', 'fairy'], ['confide', 'normal'], ['mystical-fire', 'fire'], ['dazzling-gleam', 'fairy'], ['infestation', 'bug'], ['power-up-punch', 'fighting'], ['psychic-terrain', 'psychic'], ['expanding-force', 'psychic']]",40,45,65,100,120,90
122,123,scyther,bug,flying,"[['razor-wind', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['wing-attack', 'flying'], ['headbutt', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['hyper-beam', 'normal'], ['counter', 'fighting'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['rage', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['focus-energy', 'normal'], ['bide', 'normal'], ['swift', 'normal'], ['skull-bash', 'normal'], ['rest', 'psychic'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['scary-face', 'normal'], ['detect', 'fighting'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['steel-wing', 'steel'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['baton-pass', 'normal'], ['pursuit', 'dark'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['air-cutter', 'flying'], ['silver-wind', 'bug'], ['aerial-ace', 'flying'], ['roost', 'flying'], ['natural-gift', 'normal'], ['feint', 'normal'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['close-combat', 'fighting'], ['assurance', 'dark'], ['night-slash', 'dark'], ['air-slash', 'flying'], ['x-scissor', 'bug'], ['bug-buzz', 'bug'], ['vacuum-wave', 'fighting'], ['giga-impact', 'normal'], ['psycho-cut', 'psychic'], ['defog', 'flying'], ['cross-poison', 'poison'], ['captivate', 'normal'], ['bug-bite', 'bug'], ['double-hit', 'normal'], ['ominous-wind', 'ghost'], ['round', 'normal'], ['quick-guard', 'fighting'], ['acrobatics', 'flying'], ['struggle-bug', 'bug'], ['confide', 'normal'], ['laser-focus', 'normal'], ['lunge', 'bug'], ['brutal-swing', 'dark'], ['skitter-smack', 'bug'], ['dual-wingbeat', 'flying'], ['tera-blast', 'normal'], ['pounce', 'bug'], ['trailblaze', 'grass']]",70,110,80,55,80,105
123,124,jynx,ice,psychic,"[['pound', 'normal'], ['double-slap', 'normal'], ['mega-punch', 'normal'], ['ice-punch', 'ice'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['sing', 'normal'], ['water-gun', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['bubble-beam', 'water'], ['hyper-beam', 'normal'], ['submission', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['toxic', 'poison'], ['confusion', 'psychic'], ['psychic', 'psychic'], ['rage', 'normal'], ['teleport', 'psychic'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['metronome', 'normal'], ['lick', 'ghost'], ['skull-bash', 'normal'], ['dream-eater', 'psychic'], ['lovely-kiss', 'normal'], ['flash', 'normal'], ['psywave', 'psychic'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['nightmare', 'ghost'], ['snore', 'normal'], ['curse', 'ghost'], ['powder-snow', 'ice'], ['protect', 'normal'], ['sweet-kiss', 'fairy'], ['mud-slap', 'ground'], ['perish-song', 'normal'], ['icy-wind', 'ice'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['mean-look', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['heal-bell', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['encore', 'normal'], ['sweet-scent', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['future-sight', 'psychic'], ['uproar', 'normal'], ['hail', 'ice'], ['torment', 'dark'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['trick', 'psychic'], ['role-play', 'psychic'], ['magic-coat', 'psychic'], ['recycle', 'normal'], ['brick-break', 'fighting'], ['skill-swap', 'psychic'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['fake-tears', 'dark'], ['signal-beam', 'bug'], ['icicle-spear', 'ice'], ['covet', 'normal'], ['calm-mind', 'psychic'], ['water-pulse', 'water'], ['wake-up-slap', 'fighting'], ['natural-gift', 'normal'], ['payback', 'dark'], ['fling', 'dark'], ['wring-out', 'normal'], ['copycat', 'normal'], ['drain-punch', 'fighting'], ['focus-blast', 'fighting'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['avalanche', 'ice'], ['psycho-cut', 'psychic'], ['zen-headbutt', 'psychic'], ['trick-room', 'psychic'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['wonder-room', 'psychic'], ['psyshock', 'psychic'], ['telekinesis', 'psychic'], ['magic-room', 'psychic'], ['round', 'normal'], ['echoed-voice', 'normal'], ['stored-power', 'psychic'], ['ally-switch', 'psychic'], ['frost-breath', 'ice'], ['heart-stamp', 'psychic'], ['draining-kiss', 'fairy'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['psychic-terrain', 'psychic'], ['aurora-veil', 'ice'], ['expanding-force', 'psychic'], ['triple-axel', 'ice']]",65,50,35,115,95,95
124,125,electabuzz,electric,,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['hyper-beam', 'normal'], ['submission', 'fighting'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['thunder-shock', 'electric'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['quick-attack', 'normal'], ['rage', 'normal'], ['teleport', 'psychic'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['bide', 'normal'], ['metronome', 'normal'], ['swift', 'normal'], ['skull-bash', 'normal'], ['flash', 'normal'], ['psywave', 'psychic'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['mud-slap', 'ground'], ['zap-cannon', 'electric'], ['detect', 'fighting'], ['endure', 'normal'], ['swagger', 'normal'], ['spark', 'electric'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['cross-chop', 'fighting'], ['rain-dance', 'water'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['follow-me', 'normal'], ['charge', 'electric'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['metal-sound', 'steel'], ['signal-beam', 'bug'], ['bulk-up', 'fighting'], ['covet', 'normal'], ['shock-wave', 'electric'], ['hammer-arm', 'fighting'], ['natural-gift', 'normal'], ['feint', 'normal'], ['fling', 'dark'], ['magnet-rise', 'electric'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['rock-climb', 'normal'], ['discharge', 'electric'], ['captivate', 'normal'], ['charge-beam', 'electric'], ['electro-ball', 'electric'], ['low-sweep', 'fighting'], ['round', 'normal'], ['volt-switch', 'electric'], ['electroweb', 'electric'], ['wild-charge', 'electric'], ['dual-chop', 'dragon'], ['confide', 'normal'], ['eerie-impulse', 'electric'], ['electric-terrain', 'electric'], ['power-up-punch', 'fighting'], ['rising-voltage', 'electric'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['supercell-slam', 'electric']]",65,83,57,95,85,105
125,126,magmar,fire,,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['thunder-punch', 'electric'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['roar', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['hyper-beam', 'normal'], ['submission', 'fighting'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['fire-spin', 'fire'], ['toxic', 'poison'], ['psychic', 'psychic'], ['rage', 'normal'], ['teleport', 'psychic'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['confuse-ray', 'ghost'], ['focus-energy', 'normal'], ['bide', 'normal'], ['metronome', 'normal'], ['smog', 'poison'], ['fire-blast', 'fire'], ['skull-bash', 'normal'], ['poison-gas', 'poison'], ['psywave', 'psychic'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['flame-wheel', 'fire'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['mach-punch', 'fighting'], ['scary-face', 'normal'], ['feint-attack', 'dark'], ['belly-drum', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['cross-chop', 'fighting'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['follow-me', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['overheat', 'fire'], ['covet', 'normal'], ['natural-gift', 'normal'], ['fling', 'dark'], ['power-swap', 'psychic'], ['flare-blitz', 'fire'], ['poison-jab', 'poison'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['rock-climb', 'normal'], ['lava-plume', 'fire'], ['captivate', 'normal'], ['flame-burst', 'fire'], ['flame-charge', 'fire'], ['low-sweep', 'fighting'], ['acid-spray', 'poison'], ['round', 'normal'], ['clear-smog', 'poison'], ['incinerate', 'fire'], ['dual-chop', 'dragon'], ['heat-crash', 'fire'], ['belch', 'poison'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['burning-jealousy', 'fire'], ['scorching-sands', 'ground'], ['tera-blast', 'normal'], ['temper-flare', 'fire']]",65,95,57,100,85,93
